facility_id,name,name_kana,ward,address,lat,lng,map_url,facility_type,phone,website,notes,nearest_station,station_kana,walk_minutes
1410051014918,ベネッセ　日吉保育園,べねっせひよしほいくえん,港北区,〒223-8526 神奈川県横浜市港北区日吉４丁目１−１ 1F 慶應義塾日吉キャンパス,35.5520511,139.6472816,https://maps.google.com/?cid=3348325136545956794,"establishment,point_of_interest,school",045-560-6506,https://hoiku.benesse-style-care.co.jp/facilities/area_kanagawa/yokohama/h-hiyoshi/,,日吉駅,ひよし,2
1410051024594,ベネッセ　新横浜保育園,べねっせしんよこはまほいくえん,港北区,〒222-0033 神奈川県横浜市港北区新横浜２丁目１１−１１ スケートセンタ 2階,35.507934,139.612343,https://maps.google.com/?cid=9156083472015116886,"establishment,point_of_interest,school",045-476-5741,https://hoiku.benesse-style-care.co.jp/facilities/area_kanagawa/yokohama/h-cccshinyokohama/,,浜鳥橋駅,しんよこはま,6
1410051024974,アスクみのわ保育園,あすくみのわほいくえん,港北区,〒223-0051 神奈川県横浜市港北区箕輪町２丁目２−２９ 1F,35.5470576,139.6440535,https://maps.google.com/?cid=133913106740443876,"establishment,point_of_interest,school",045-566-8606,https://list.nihonhoiku.co.jp/nursery/detail/minowa/?utm_source=google&utm_medium=map&utm_campaign=gbp,,プラウドシティ日吉駅,ひよし,4
1410051017135,岩崎学園新横浜保育園,いわさきがくえんしんよこはまほいくえん,港北区,〒222-0033 神奈川県横浜市港北区新横浜２丁目４−１０,35.509036,139.616174,https://maps.google.com/?cid=14058616145991846520,"establishment,point_of_interest,school",045-474-2365,http://hoiku.iwasaki.ac.jp/kosodate/isyh/index.html,,新横浜駅,しんよこはま,5
1410051026516,明日葉保育園綱島園,あしたばほいくえんつなしまその,港北区,〒223-0052 神奈川県横浜市港北区綱島東３丁目１−４,35.5378822,139.6402475,https://maps.google.com/?cid=3553907803523963060,"establishment,point_of_interest,school",045-717-7714,https://www.ashita-ba.jp/hoiku/tsunashima/,,新綱島駅,しんつなしま,6
1410051027886,横浜りとるぱんぷきんず(保育所部分),よこはまりとるぱんぷきんず(ほいくしょぶぶん),港北区,〒223-0062 神奈川県横浜市港北区日吉本町４丁目１０−４９,35.5457737,139.6348366,https://maps.google.com/?cid=259097597118571709,"establishment,point_of_interest,school",045-560-5645,https://www.seikoukai.or.jp/facilities/yokohama/,,日吉本町駅,つなしま,9
1410051026003,にじいろ保育園日吉,にじいろほいくえんひよし,港北区,〒223-0051 神奈川県横浜市港北区箕輪町２丁目７−４２ プラウドシティ日吉 ﾚｼﾞﾃﾞﾝｽⅡｿｺﾗ日吉,35.5464641,139.6447317,https://maps.google.com/?cid=4204802428231622655,"establishment,point_of_interest,school",045-534-5261,https://www.like-kd.co.jp/establishment/nijiiro/HPhiyoshi?utm_source=google&utm_medium=maps&utm_campaign=hiyoshi,,プラウドシティ日吉駅,ひよし,2
1410051017259,新羽どろんこ保育園,しんはねどろんこほいくえん,港北区,〒223-0057 神奈川県横浜市港北区新羽町２１８５−１,35.5264206,139.6090586,https://maps.google.com/?cid=16939733256837428911,"establishment,point_of_interest,school",045-544-5033,https://www.doronko.jp/facilities/doronko-nippa/?utm_source=GBP&utm_medium=click&utm_campaign=page_doronko-nippa,,新羽町駅,おおくらやま,4
1410051026631,ぶれすと新横浜ほいくえん,ぶれすとしんよこはまほいくえん,港北区,〒222-0034 神奈川県横浜市港北区岸根町３７５−１,35.5027115,139.6129645,https://maps.google.com/?cid=5559648245052289358,"establishment,point_of_interest,school",045-718-6107,https://hoikuen.brest.co.jp/shinyoko/,,又口橋駅,しんよこはま,8
1410051015758,パレット保育園・高田,ぱれっとほいくえん・たかだ,港北区,〒223-0065 神奈川県横浜市港北区高田東４丁目２２−３８,35.5492024,139.6204353,https://maps.google.com/?cid=7626428599501457926,"establishment,point_of_interest,school",045-544-1149,https://p-hoiku.com/info/72-2/%E5%90%84%E5%9C%92%E6%83%85%E5%A0%B1_%E9%AB%98%E7%94%B0/,,高田駅,つなしま,1
